"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"positive-convergence-time"
"06/09/2026 15:51:18:978 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","ticks","mean-opinion","sd-opinion"
"269","100000","0.2","40","0","pos","99999","100000","0.11991154092917128","0.019539113443479764"
"270","100000","0.2","40","0","pos","99999","100000","0.1161328435168792","0.024302970472836517"
"271","100000","0.2","50","0","pos","99999","100000","0.09912807699067028","0.025815153113350742"
"272","100000","0.2","50","0","pos","99999","100000","0.10848736605122142","0.018166054957521088"
"273","100000","0.2","50","0","pos","99999","100000","0.09658005680134063","0.028425547194875528"
"274","100000","0.2","50","0","pos","99999","100000","0.09625719802824394","0.025100533083716348"
"275","100000","0.2","50","0","pos","99999","100000","0.08610638208231212","0.031013732289934124"
"276","100000","0.2","50","0","pos","99999","100000","0.09979047746946075","0.01436792566530783"
"277","100000","0.2","50","0","pos","99999","100000","0.10838922596805367","0.024799866608581814"
"278","100000","0.2","50","0","pos","99999","100000","0.11375360203546256","0.018939178209428024"
"279","100000","0.2","50","0","pos","99999","100000","0.11529646578338702","0.025828034315132784"
"281","100000","0.2","50","0","pos","99999","100000","0.10764981312658163","0.018303928888474697"
"280","100000","0.2","50","0","pos","99999","100000","0.10930284159773292","0.0321899799563117"
"284","100000","0.2","50","0","pos","99999","100000","0.10593865520052444","0.013020127419372193"
"282","100000","0.2","50","0","pos","99999","100000","0.1124879134817179","0.018969401208972805"
"286","100000","0.2","50","0","pos","99999","100000","0.10473579905554657","0.01826259123313524"
"283","100000","0.2","50","0","pos","99999","100000","0.1110935897811913","0.016274590816889485"
"285","100000","0.2","50","0","pos","99999","100000","0.1070587247020276","0.02997685081723747"
"287","100000","0.2","50","0","pos","99999","100000","0.10208061344584543","0.026323870750589336"
"288","100000","0.2","50","0","pos","99999","100000","0.09680653116944493","0.01847046286875026"
"289","100000","0.2","50","0","pos","99999","100000","0.1163900402958838","0.021030587181303163"
"290","100000","0.2","50","0","pos","99999","100000","0.0924557093208152","0.021691200848870607"
"291","100000","0.2","50","0","pos","99999","100000","0.11393744892997884","0.026165855921095934"
"293","100000","0.2","50","0","pos","99999","100000","0.09918625085591323","0.045213005125312546"
"296","100000","0.2","50","0","pos","99999","100000","0.10706570147429773","0.042961194053224704"
"295","100000","0.2","50","0","pos","99999","100000","0.1018822878495109","0.016230533921668955"
"292","100000","0.2","50","0","pos","99999","100000","0.08536761138616046","0.01578790046022741"
"297","100000","0.2","50","0","pos","99999","100000","0.10805488407911709","0.025804438743505336"
"294","100000","0.2","50","0","pos","99999","100000","0.10343884785667239","0.03765753026778805"
"298","100000","0.2","50","0","pos","99999","100000","0.10334526267654646","0.011339000816371923"
"299","100000","0.2","50","0","pos","99999","100000","0.11396130964520321","0.019883988261738785"
"300","100000","0.2","50","0","pos","99999","100000","0.1037274051564992","0.02145838501652065"
"301","100000","0.3","10","0","pos","99999","100000","0.1016351775136437","0.06048262635657259"
"302","100000","0.3","10","0","pos","99999","100000","0.10872682832995603","0.02997903103654685"
